TABLE 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
OIL FUND LEVIED ON PETROLEUM PRODUCTS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,," UNIT: Baht/Litre",,
,OIL FUND,,,,,,,,,,,,,,,,
DATE,ULG,UGR,GASOHOL 95,,,GASOHOL 91,KI,HSD **,HSD **,HSD,HSD,LSD,FO,,LPG (B/Kg),,
,,,(E10),(E20),(E85),,,B7,,B20,B5,,(1500),LOW INCOME,COOKING,INDUSTRY,AUTOBILE
,,,,,,,,,,,,,,HOUSEHOLD,,,
MAY-2,0.65,0.45,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4117,,
MAY-7,0.85,0.65,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4117,,
MAY-9,0.85,0.65,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4014,,
MAY-14,1.2,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4014,,
MAY-16,1.2,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.4,,
MAY-23,1.2,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.1523,,
MAY-30,1.2,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.6069,,
AVG,1.067741935483871,0.8677419354838709,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.3804,,
JUN-6,1.2,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.7436,,
JUN-10,1.325,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.7436,,
JUN-13,1.325,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.753,,
JUN-20,1.325,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8477,,
JUN-25,1.5,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8477,,
JUN-27,1.5,1,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.9115,,
JUN-30,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.9115,,
AVG,1.35,1.01,0.04000000000000001,,,,0.10000000000000002,0.5,,,,0.5,0.05999999999999999,,-2.679263333333333,,
JUL-4,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.94,,
JUL-11,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-3.0703,,
JUL-18,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-3.1554,,
JUL-25,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-3.1576,,
AVG,1.5,1.3,0.04000000000000001,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-3.0644387096774195,,
AUG-1,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-3.073,,
AUG-8,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.9904,,
AUG-15,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8989,,
AUG-22,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.9244,,
AUG-29,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.9058,,
AVG,1.5,1.2999999999999998,0.04000000000000001,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.9652999999999996,,
SEP-5,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.9451,,
SEP-12,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8809,,
SEP-19,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8579,,
SEP-26,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8981,,
AVG,1.5,1.3,0.04,,,,0.10000000000000002,0.5,,,,0.5,0.05999999999999999,,-2.8967,,
OCT-3,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.9279,,
OCT-10,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8862,,
OCT-17,1.5,1.3,0.04,,,,0.1,0.5,,,,0.5,0.06,,-2.8493,,
OCT-21,1.5,1.3,0.04,,,,0.1,0.6,,,,0.6,0.06,,-2.8493,,
OCT-23,1.5,1.3,0.04,,,,0.1,0.8,,,,0.8,0.06,,-2.8493,,
OCT-24,1.5,1.3,0.04,,,,0.1,0.8,,,,0.8,0.06,,-2.8368,,
OCT-26,1.5,1.3,0.04,,,,0.1,1.1,,,,1.1,0.06,,-2.8368,,
OCT-31,1.5,1.3,0.04,,,,0.1,1.1,,,,1.1,0.06,,-2.8199,,
AVG,1.5,1.3,0.04,,,,0.10000000000000002,0.6548387096774195,,,,0.6548387096774195,0.060000000000000005,,-2.868764516129032,,
NOV-7,1.8,1.6,0.04,,,,0.1,1.8,,,,1.8,0.06,,-2.8209,,
NOV-14,1.8,1.6,0.04,,,,0.1,2,,,,2,0.06,,-2.9198,,
NOV-21,1.8,1.6,0.04,,,,0.1,2,,,,2,0.06,,-2.9315,,
NOV-28,1.8,1.6,0.24,,,,0.1,2,,,,2,0.06,,-2.9399,,
NOV-30,2,1.8,0.44,,,,0.1,2,,,,2,0.06,,-2.9399,,
AVG,1.7466666666666668,1.5466666666666669,0.06666666666666667,,,,0.10000000000000003,1.7733333333333334,,,,1.7733333333333334,0.05999999999999999,,-2.8814833333333336,,0
DEC-2,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.9578,,
DEC-5,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.9578,,
DEC-12,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.9728,,
DEC-19,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.8877,,
DEC-26,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.8567,,
AVG,2.4838709677419355,2.283870967741935,0.9238709677419356,,,,0.10000000000000002,2,,,,2,0.06,,-2.9219516129032264,,
2006,,,,,,,,,,,,,,,,,
JAN-2,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.8709,,
JAN-9,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.7231,,
JAN-16,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.4687,,
JAN-23,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.418,,
JAN-30,2.5,2.3,0.94,,,,0.1,2,,,,2,0.06,,-2.2848,,
AVG,2.5,2.2999999999999994,0.94,,,0,0.10000000000000002,2,,,0,2,0.06,,-2.606167741935484,,
FEB-4,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.3071,,
FEB-6,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.3071,,
FEB-13,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.4234,,
FEB-20,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.3524,,
FEB-27,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.372,,
AVG,2.5,2.2999999999999994,0.9399999999999998,,,,0.1,2.4464285714285716,,,,2.4464285714285716,0.05999999999999999,,-2.3497464285714287,,
MAR-6,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.263,,
MAR-13,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.2498,,
MAR-21,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.2856,,
MAR-27,2.5,2.3,0.94,,,,0.1,2.5,,,,2.5,0.06,,-2.2229,,
AVG,2.5,2.3,0.94,,,,0.10000000000000002,2.5,,,,2.5,0.06,,-2.2762354838709675,,
APR-1,2.5,2.3,0.54,,,,0.1,1.95,,,,1.95,0.06,,-2.2229,,
APR-3,2.5,2.3,0.54,,,,0.1,1.95,,,,1.95,0.06,,-2.218,,
APR-10,2.5,2.3,0.54,,,,0.1,1.95,,,,1.95,0.06,,-2.1031,,
APR-17,2.5,2.3,0.54,,,,0.1,1.95,,,,1.95,0.06,,-1.9417,,
APR-24,2.5,2.3,0.54,,,,0.1,0.95,,,,0.95,0.06,,-1.8894,,
