Exchange rate of (DOLLAR (USD))
since 01 Jan 2019 to 31 Dec 2019
(BAHT / 1 DOLLAR (USD))
Period|Buying Rates Sight Bill|Buying Rates Transfer|Average Selling Rates
11 Apr 2019|31.4989|31.5898|31.9483
10 Apr 2019|31.5530|31.6459|31.9872
09 Apr 2019|31.5971|31.6851|32.0268
05 Apr 2019|31.5941|31.6837|32.0059
04 Apr 2019|31.4996|31.5877|31.9137
03 Apr 2019|31.4882|31.5811|31.9271
02 Apr 2019|31.4748|31.5683|31.9043
01 Apr 2019|31.4356|31.5291|31.8602
29 Mar 2019|31.5577|31.6449|31.9785
28 Mar 2019|31.6301|31.7190|32.0366
27 Mar 2019|31.4532|31.5426|31.8708
26 Mar 2019|31.3049|31.3980|31.7301
25 Mar 2019|31.3481|31.4401|31.7696
22 Mar 2019|31.4628|31.5478|31.8878
21 Mar 2019|31.3778|31.4707|31.8139
20 Mar 2019|31.4572|31.5462|31.8707
19 Mar 2019|31.3906|31.4829|31.8302
18 Mar 2019|31.4029|31.4913|31.8406
15 Mar 2019|31.4946|31.5814|31.9115
14 Mar 2019|31.3933|31.4869|31.8228
13 Mar 2019|31.3889|31.4765|31.8183
12 Mar 2019|31.4051|31.4970|31.8364
11 Mar 2019|31.4348|31.5271|31.8857
08 Mar 2019|31.5681|31.6586|31.9928
07 Mar 2019|31.6160|31.7037|32.0380
06 Mar 2019|31.5662|31.6534|31.9754
05 Mar 2019|31.6189|31.7112|32.0563
04 Mar 2019|31.5293|31.6228|31.9512
01 Mar 2019|31.3668|31.4562|31.7874
28 Feb 2019|31.2190|31.3117|31.6416
27 Feb 2019|31.1260|31.2176|31.5476
26 Feb 2019|31.0166|31.1097|31.4482
25 Feb 2019|31.0449|31.1339|31.4720
22 Feb 2019|31.0119|31.1003|31.4236
21 Feb 2019|30.8805|30.9701|31.2931
20 Feb 2019|30.8497|30.9392|31.2754
18 Feb 2019|30.9653|31.0547|31.3949
15 Feb 2019|31.0396|31.1310|31.4795
14 Feb 2019|31.1303|31.2183|31.5449
13 Feb 2019|31.0098|31.0997|31.4221
12 Feb 2019|31.1290|31.2205|31.5535
11 Feb 2019|31.1555|31.2494|31.5770
08 Feb 2019|31.0684|31.1637|31.4964
07 Feb 2019|31.0143|31.1008|31.4331
06 Feb 2019|30.9912|31.0824|31.4085
05 Feb 2019|31.0446|31.1388|31.4751
04 Feb 2019|31.0512|31.1444|31.4840
01 Feb 2019|31.0691|31.1578|31.4797
31 Jan 2019|30.9825|31.0788|31.4128
30 Jan 2019|31.2039|31.2991|31.6240
29 Jan 2019|31.2946|31.3881|31.7288
28 Jan 2019|31.2206|31.3155|31.6586
25 Jan 2019|31.4368|31.5261|31.8527
24 Jan 2019|31.4418|31.5323|31.8530
23 Jan 2019|31.4882|31.5760|31.8997
22 Jan 2019|31.5447|31.6345|31.9627
21 Jan 2019|31.4886|31.5791|31.9076
18 Jan 2019|31.4368|31.5165|31.8527
17 Jan 2019|31.3829|31.4648|31.7945
16 Jan 2019|31.5818|31.6668|31.9879
15 Jan 2019|31.6160|31.7045|32.0476
14 Jan 2019|31.6652|31.7513|32.1082
11 Jan 2019|31.6641|31.7522|32.0787
10 Jan 2019|31.6709|31.7627|32.0974
09 Jan 2019|31.7707|31.8606|32.1870
08 Jan 2019|31.7470|31.8330|32.1775
07 Jan 2019|31.6905|31.7792|32.1224
04 Jan 2019|31.8133|31.9008|32.2298
03 Jan 2019|31.9638|32.0442|32.3939
02 Jan 2019|32.1166|32.1983|32.5345
