Date,USD_BATH
2022-05-20,34.1619
2022-05-21,31.1134
2022-05-22,31.1134
2022-05-23,34.0398
2022-05-24,33.9351
2022-05-25,33.9354
2022-05-26,34.0297
2022-05-27,33.9243
2022-05-28,31.0291
2022-05-29,31.0291
2022-05-30,33.8236
2022-05-31,33.917
2022-06-01,34.0854
2022-06-02,34.1165
2022-06-03,34.1165
2022-06-04,30.9538
2022-06-05,30.9538
2022-06-06,34.1457
2022-06-07,34.1887
2022-06-08,34.2069
2022-06-09,34.2645
2022-06-10,34.3969
2022-06-11,30.8293
2022-06-12,30.8293
2022-06-13,34.5422
2022-06-14,34.6854
2022-06-15,34.8058
2022-06-16,34.703
2022-06-17,34.9398
2022-06-18,31.1293
2022-06-19,31.1293
2022-06-20,35.0232
2022-06-21,35.1113
2022-06-22,35.1951
2022-06-23,35.155
2022-06-24,35.2721
2022-06-25,31.5304
2022-06-26,31.5304
2022-06-27,35.1532
2022-06-28,34.9757
2022-06-29,34.8209
2022-06-30,35.0306
2022-07-01,35.2288
2022-07-02,31.9063
2022-07-03,31.9063
2022-07-04,35.4125
2022-07-05,35.4422
2022-07-06,35.7301
2022-07-07,35.9416
2022-07-08,35.7357
2022-07-09,32.3914
2022-07-10,32.3914
2022-07-11,35.7033
2022-07-12,36.0355
2022-07-13,32.3613
2022-07-14,36.0756
2022-07-15,36.3772
2022-07-16,32.4695
2022-07-17,32.4695
2022-07-18,36.328
2022-07-19,36.4076
2022-07-20,36.373
2022-07-21,36.5183
2022-07-22,36.5716
2022-07-23,32.6494
2022-07-24,32.6494
2022-07-25,36.4311
2022-07-26,36.4126
2022-07-27,36.5488
2022-07-28,36.5488
2022-07-29,32.621
2022-07-30,32.6203
2022-07-31,32.6203
2022-08-01,35.9484
2022-08-02,35.8275
2022-08-03,35.9426
2022-08-04,35.8905
2022-08-05,35.4328
2022-08-06,33.0659
2022-08-07,33.0659
2022-08-08,35.5287
2022-08-09,35.2068
2022-08-10,35.1721
2022-08-11,35.0565
2022-08-12,35.0565
2022-08-13,32.9571
2022-08-14,32.9571
2022-08-15,35.1389
2022-08-16,35.2009
2022-08-17,35.1323
2022-08-18,35.3001
2022-08-19,35.4589
2022-08-20,33.0719
2022-08-21,33.0719
2022-08-22,35.6669
2022-08-23,35.933
2022-08-24,35.8909
2022-08-25,35.6407
2022-08-26,35.6612
2022-08-27,32.4677
2022-08-28,32.4677
2022-08-29,36.1326
2022-08-30,36.154
2022-08-31,36.2184
2022-09-01,36.4283
2022-09-02,36.5216
2022-09-03,32.2384
2022-09-04,32.2384
2022-09-05,36.4893
2022-09-06,36.1825
2022-09-07,36.4727
2022-09-08,36.1909
2022-09-09,36.0714
2022-09-10,32.4394
2022-09-11,32.4394
2022-09-12,36.1516
2022-09-13,36.029
2022-09-14,36.4114
2022-09-15,36.4384
2022-09-16,36.7441
2022-09-17,32.9128
2022-09-18,32.9128
2022-09-19,36.6506
2022-09-20,36.66
2022-09-21,36.8578
2022-09-22,37.0993
2022-09-23,37.0761
2022-09-24,37.0761
2022-09-25,37.0761
2022-09-26,37.5295
2022-09-27,37.649
2022-09-28,37.8658
2022-09-29,37.8383
2022-09-30,37.6486
2022-10-01,33.4788
2022-10-02,33.4788
2022-10-03,37.7419
2022-10-04,37.5024
2022-10-05,37.1379
2022-10-06,37.0354
2022-10-07,37.1774
2022-10-08,33.5991
2022-10-09,33.5991
2022-10-10,37.5064
2022-10-11,37.8438
2022-10-12,37.9061
2022-10-13,37.9061
2022-10-14,32.9693
2022-10-15,32.9718
2022-10-16,32.9718
2022-10-17,37.9085
2022-10-18,37.8024
2022-10-19,37.8141
2022-10-20,38.0339
2022-10-21,38.0781
2022-10-22,38.0781
2022-10-23,38.0781
2022-10-24,38.0781
2022-10-25,37.9312
2022-10-26,37.6848
2022-10-27,37.4957
2022-10-28,37.5233
2022-10-29,32.9153
2022-10-30,32.9153
2022-10-31,37.765
2022-11-01,37.6589
2022-11-02,37.3979
2022-11-03,37.5613
2022-11-04,37.4493
2022-11-05,33.078
2022-11-06,33.078
2022-11-07,37.1481
2022-11-08,37.0741
2022-11-09,36.5983
2022-11-10,36.619
2022-11-11,35.7393
2022-11-12,32.5482
2022-11-13,32.5482
2022-11-14,35.5741
2022-11-15,35.4277
2022-11-16,35.4326
2022-11-17,35.567
2022-11-18,35.588
2022-11-19,32.3493
2022-11-20,32.3493
2022-11-21,35.774
2022-11-22,35.9127
2022-11-23,35.8802
2022-11-24,35.6852
2022-11-25,35.426
2022-11-26,33.2636
2022-11-27,33.2636
2022-11-28,35.6385
2022-11-29,35.404
2022-11-30,35.1119
2022-12-01,34.7402
2022-12-02,34.5335
2022-12-03,33.6565
2022-12-04,33.6565
2022-12-05,33.6565
2022-12-06,34.7535
2022-12-07,34.8247
2022-12-08,34.5586
2022-12-09,34.4905
2022-12-10,34.4905
2022-12-11,34.4905
2022-12-12,34.4905
2022-12-13,34.5275
2022-12-14,34.3395
2022-12-15,34.4709
2022-12-16,34.762
2022-12-17,33.1231
2022-12-18,33.1231
2022-12-19,34.5499
2022-12-20,34.6471
2022-12-21,34.4946
2022-12-22,34.4214
2022-12-23,34.5641
2022-12-24,33.2573
2022-12-25,33.2573
2022-12-26,34.4715
2022-12-27,34.3744
2022-12-28,34.391
2022-12-29,34.4146
2022-12-30,34.2946
2022-12-31,34.2946
