date,station,fuel_type,effective_date,price
2021-01-25,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-25,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-26,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-26,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-26,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-27,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-27,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-27,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26 Jan 05:00,24.55
2021-01-28,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-28,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-28,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26 Jan 05:00,24.55
2021-01-29,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-29,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-29,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26 Jan 05:00,24.55
2021-01-30,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-30,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-30,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),29 Jan 05:00,24.25
2021-01-31,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-31,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-31,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),29 Jan 05:00,24.25
2021-02-01,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-01,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-01,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),29 Jan 05:00,24.25
2021-02-02,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-02,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-02,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),29 Jan 05:00,24.25
2021-02-03,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-03,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-03,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),29 Jan 05:00,24.25
2021-02-04,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-04,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-02-04,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),03 Feb 05:00,24.65
2021-02-05,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.65
2021-02-05,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.65
2021-02-05,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.95
2021-02-06,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.65
2021-02-06,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.65
2021-02-06,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.95
2021-02-07,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-07,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-07,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.95
2021-02-08,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-08,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-08,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.95
2021-02-09,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-09,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-09,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),04 Feb 05:00,24.95
2021-02-10,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-10,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Feb 05:00,24.95
2021-02-10,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Feb 05:00,25.45
2021-02-11,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-11,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-11,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-12,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-12,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-12,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
2021-02-13,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),10 Feb 05:00,25.45
